task,horizon,local_model,global_model,fold,ticker,n,local_primary,global_primary,global_improvement_vs_local_pct,test_start,test_end
classification,5,logistic,logistic,4,JPM,245,0.6678562265501687,0.6601561863231975,1.1529487816181674,2024-09-10,2025-09-02
classification,5,logistic,logistic,4,MSFT,245,0.671689385792303,0.6723040562916931,-0.09151112290766346,2024-09-10,2025-09-02
classification,5,logistic,logistic,4,NVDA,245,0.6872109895041245,0.6765463094813455,1.551878562139172,2024-09-10,2025-09-02
classification,5,logistic,logistic,4,PETR4.SA,244,0.7096023605310162,0.7143993005917956,-0.6760039604701515,2024-09-10,2025-09-02
classification,5,logistic,logistic,4,SPY,245,0.672692525539214,0.6739723110426483,-0.19024821219895116,2024-09-10,2025-09-02
classification,5,logistic,logistic,4,VALE3.SA,244,0.7060586583523069,0.7016262269178055,0.6277709907056558,2024-09-10,2025-09-02
classification,5,logistic,logistic,4,WEGE3.SA,244,0.7181964754192544,0.7268701053637311,-1.207695977540605,2024-09-10,2025-09-02
classification,5,logistic,logistic,5,AAPL,247,0.696364880598124,0.6827003302521905,1.9622687367859077,2025-09-03,2026-08-26
classification,5,logistic,logistic,5,BOVA11.SA,243,0.6809505351408591,0.6768252439343663,0.6058136374971069,2025-09-03,2026-08-26
classification,5,logistic,logistic,5,ITUB4.SA,245,0.6831328267405455,0.6846604223066779,-0.22361618507209258,2025-09-03,2026-08-26
classification,5,logistic,logistic,5,JPM,246,0.675761344878935,0.6785695033644977,-0.41555476749943393,2025-09-03,2026-08-26
classification,5,logistic,logistic,5,MSFT,247,0.7102310439706161,0.7022113659710003,1.1291646665824389,2025-09-03,2026-08-26
classification,5,logistic,logistic,5,NVDA,247,0.6956867854300799,0.6918770556052891,0.5476214159272216,2025-09-03,2026-08-26
classification,5,logistic,logistic,5,PETR4.SA,245,0.7033620511092861,0.6788320905336958,3.487529720561926,2025-09-03,2026-08-26
classification,5,logistic,logistic,5,SPY,247,0.6855357378747224,0.6784838106331893,1.0286739044991755,2025-09-03,2026-08-26
classification,5,logistic,logistic,5,VALE3.SA,245,0.683014952819663,0.6620691683578571,3.0666655796240194,2025-09-03,2026-08-26
classification,5,logistic,logistic,5,WEGE3.SA,245,0.6913215244770657,0.6884410093390283,0.41666793757309123,2025-09-03,2026-08-26
regression,10,ridge,ridge,1,AAPL,245,0.06397418831171635,0.06326997390938138,1.1007789561997374,2021-09-30,2022-09-20
regression,10,ridge,ridge,1,BOVA11.SA,243,0.047216870546235405,0.04591647142371877,2.7540984980003445,2021-09-30,2022-09-20
regression,10,ridge,ridge,1,ITUB4.SA,243,0.06161841095205766,0.06032679127825525,2.0961586867395168,2021-09-30,2022-09-20
regression,10,ridge,ridge,1,JPM,245,0.06194172996830033,0.06252369632241889,-0.939538424929991,2021-09-30,2022-09-20
regression,10,ridge,ridge,1,MSFT,245,0.06359770358201426,0.060073760501683414,5.5409910764882335,2021-09-30,2022-09-20
